#video                                            	object    	scene     	mime 
0zFbEjoGlhc_000006_000010.mp4                     	no        	no        	no   
0zFbEjoGlhc_000014_000024.mp4                     	no        	no        	yes  
AHMNZopmQBQ_000071_000074.mp4                     	no        	no        	no   
GZWM9or9AhM_000040_000044.mp4                     	no        	no        	yes  
N4WKMa_KKYc_000023_000024.mp4                     	no        	no        	no   
Nru0Tb3f6lg_000014_000015.mp4                     	no        	no        	no   
SHVMWGGAkGQ_000104_000109.mp4                     	no        	no        	no   
SdY0GFiME2c_000393_000395.mp4                     	no        	no        	yes  
Wj4-fNnZqIc_000003_000007.mp4                     	no        	no        	no   
aXknIbHLPLM_000013_000016.mp4                     	no        	no        	no   
ci9pKRJWueg_000048_000056.mp4                     	no        	no        	no   
eu3whHZ63Jo_000024_000026.mp4                     	no        	no        	no   
kQIZjktFIWY_000165_000168.mp4                     	no        	no        	yes  
qOOs5bnc25g_000012_000015.mp4                     	no        	no        	no   
raooqfayrIQ_000050_000051.mp4                     	no        	no        	no   
rn4TUxN67XY_000229_000238.mp4                     	no        	no        	no   
td7OmZ4YTNs_000380_000384.mp4                     	no        	no        	yes  
x58YK75ijjY_000021_000030.mp4                     	no        	no        	no   
zedVxImHkK8_000022_000023.mp4                     	no        	no        	no   
-xdBnY59MyY_000108_000112.mp4                     	no        	no        	no   
0Pxoj58NcqI_000027_000030.mp4                     	no        	no        	no   
5_R9jYis68Y_000021_000031.mp4                     	no        	no        	no   
9ysdRIode6A_000105_000108.mp4                     	no        	no        	no   
DrhqyqLiodc_000062_000064.mp4                     	no        	no        	no   
DrhqyqLiodc_000065_000066.mp4                     	no        	no        	no   
DrhqyqLiodc_000066_000069.mp4                     	no        	no        	no   
GeiX1Af9HtI_000083_000093.mp4                     	no        	no        	yes  
HeDQh6MQ8_E_000027_000030.mp4                     	no        	no        	no   
HpycA1NELVM_000123_000125.mp4                     	no        	no        	no   
RY7s2xwD5Pk_000002_000007.mp4                     	no        	yes       	no   
TRcCyetKj0o_000051_000056.mp4                     	no        	no        	no   
a9xyg4iz7KM_000003_000005.mp4                     	no        	no        	no   
37R1c2TOoCY_000100_000109.mp4                     	no        	no        	yes  
5CV-aGIS00w_000070_000075.mp4                     	no        	no        	yes  
5HfC8ROl_Z8_000073_000075.mp4                     	no        	no        	no   
5r3Z45QAmxI_000205_000211.mp4                     	no        	no        	yes  
8FtwAj8XQ7o_000206_000208.mp4                     	no        	no        	yes  
A2Pvv6y0jOw_000003_000012.mp4                     	no        	no        	no   
ABBJ5QGrMlI_000098_000101.mp4                     	no        	no        	yes  
DuXviwv7VBM_000063_000070.mp4                     	no        	yes       	no   
EfVGZBDtC1c_000085_000092.mp4                     	no        	no        	no   
HXldFQk7lv8_000126_000129.mp4                     	no        	no        	no   
JPBjBflm7V4_000063_000069.mp4                     	no        	no        	yes  
LlXKCeXsdNg_000086_000089.mp4                     	no        	no        	no   
MNj1VOYinX0_000063_000073.mp4                     	no        	yes       	no   
PjUiNabLd04_000469_000472.mp4                     	no        	no        	no   
RXUC8ebzAEI_000123_000133.mp4                     	no        	no        	yes  
UbdK6pKQnSQ_000110_000113.mp4                     	no        	no        	yes  
ZZheLvdGg38_000130_000132.mp4                     	no        	no        	no   
_HDQfm5f36U_000083_000093.mp4                     	no        	no        	no   
ktaZ7IRhifs_000025_000030.mp4                     	no        	no        	no   
ong17Z8dBVg_000101_000107.mp4                     	no        	no        	yes  
1lukUCL5pS4_000091_000101.mp4                     	no        	yes       	yes  
2OYAboBWNRc_000059_000069.mp4                     	no        	no        	no   
4XlPCuCEfUg_000058_000060.mp4                     	no        	no        	no   
5CV-aGIS00w_000144_000147.mp4                     	no        	no        	yes  
8FtwAj8XQ7o_000120_000125.mp4                     	no        	no        	yes  
Es0RP4KFhxM_000010_000013.mp4                     	no        	no        	no   
MNj1VOYinX0_000044_000047.mp4                     	no        	yes       	no   
SZ44v1ejnac_000019_000029.mp4                     	no        	yes       	no   
TBdnqWOtY-o_000000_000008.mp4                     	no        	no        	no   
_HDQfm5f36U_000037_000042.mp4                     	no        	no        	no   
a5SMXR1BUL0_000010_000020.mp4                     	no        	no        	no   
n7ew4qIamfA_000047_000052.mp4                     	no        	no        	no   
x9I8pjBmX28_000020_000023.mp4                     	no        	no        	yes  
xyXEdjivNDU_000051_000055.mp4                     	no        	no        	yes  
yyTJQN_e1q0_000010_000017.mp4                     	no        	no        	no   
1Ng5ULurhh4_000180_000190.mp4                     	no        	no        	no   
89BVtt8r0hQ_000025_000030.mp4                     	no        	no        	no   
9MKtWBhuexI_000011_000021.mp4                     	no        	no        	no   
CjXn0c_XvDE_000059_000061.mp4                     	no        	no        	no   
DbAA2Xb3dcU_000050_000060.mp4                     	no        	no        	no   
ENzcF7wbvkU_000001_000006.mp4                     	no        	no        	no   
LUmAuEeKS_M_000002_000005.mp4                     	no        	no        	yes  
T7mhaaJ70u4_000013_000016.mp4                     	no        	no        	no   
TCIbkyhlPpg_000015_000025.mp4                     	no        	no        	no   
TGK0SkDTDrE_000003_000006.mp4                     	no        	no        	no   
c2Cl52b3A7g_000005_000015.mp4                     	no        	no        	no   
hBEUQlh6PNs_000094_000096.mp4                     	no        	no        	yes  
i1fbSuUV5Nc_000039_000049.mp4                     	no        	no        	yes  
o5soCfdcNdU_000000_000010.mp4                     	yes       	no        	no   
-CM9SDKQRQc_000091_000093.mp4                     	no        	yes       	yes  
0QAUWDBvbHc_000074_000075.mp4                     	no        	no        	no   
BpsJdEQKIGI_000105_000108.mp4                     	no        	yes       	no   
Ej9DeLsFxNs_000026_000027.mp4                     	no        	yes       	no   
FaCkfAZOgOM_000040_000041.mp4                     	no        	no        	no   
L4lqtPwU5vY_000122_000123.mp4                     	no        	no        	no   
NAkrjA7GR84_000029_000031.mp4                     	no        	no        	no   
TRcCyetKj0o_000107_000112.mp4                     	no        	no        	no   
YREQPADOWnM_000128_000130.mp4                     	no        	no        	no   
bodvGG0lOFY_000076_000077.mp4                     	no        	yes       	no   
bodvGG0lOFY_000118_000119.mp4                     	no        	yes       	no   
lpZs8sx51tk_000028_000031.mp4                     	no        	no        	no   
mwRu5ngESZc_000026_000027.mp4                     	no        	no        	yes  
